n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0775,2,256,1,2,1,1,0,4,1,0.000178,195
0776,2,256,1,2,1,1,0,4,2,0.000179,199
0777,2,256,1,2,1,1,0,5,0,0.000188,257
0778,2,256,1,2,1,1,0,5,1,0.000202,271
0779,2,256,1,2,1,1,0,5,2,0.000202,271
0780,2,256,1,2,1,1,0,6,0,0.000189,248
0781,2,256,1,2,1,1,0,6,1,0.000178,281
0782,2,256,1,2,1,1,0,6,2,0.000178,281
0783,2,256,1,2,1,1,0,7,0,0.000190,240
0784,2,256,1,2,1,1,0,7,1,0.000219,329
0785,2,256,1,2,1,1,0,7,2,0.000219,329
0786,2,256,1,2,1,1,0,8,0,0.000206,214
0787,2,256,1,2,1,1,0,8,1,0.000202,224
0788,2,256,1,2,1,1,0,8,2,0.000202,224
0789,2,256,1,2,1,1,0,9,0,0.000210,335
0790,2,256,1,2,1,1,0,9,1,0.000216,371
0791,2,256,1,2,1,1,0,9,2,0.000216,371
0792,2,256,1,2,1,1,0,10,0,0.000222,328
0793,2,256,1,2,1,1,0,10,1,0.000196,392
0794,2,256,1,2,1,1,0,10,2,0.000196,392
0795,2,256,1,2,1,1,0,11,0,0.000250,354
0796,2,256,1,2,1,1,0,11,1,0.000209,415
0797,2,256,1,2,1,1,0,11,2,0.000209,415
0798,2,256,1,2,1,1,0,12,0,0.000219,336
0799,2,256,1,2,1,1,0,12,1,0.000195,403
0800,2,256,1,2,1,1,0,12,2,0.000195,403
0801,2,256,1,2,1,1,0,13,0,0.000214,418
0802,2,256,1,2,1,1,0,13,1,0.000203,483
0803,2,256,1,2,1,1,0,13,2,0.000203,483
0804,2,256,1,2,1,1,0,14,0,0.000218,385
0805,2,256,1,2,1,1,0,14,1,0.000212,502
0806,2,256,1,2,1,1,0,14,2,0.000212,502
0807,2,256,1,2,1,1,0,15,0,0.000243,426
0808,2,256,1,2,1,1,0,15,1,0.000250,531
0809,2,256,1,2,1,1,0,15,2,0.000250,531
0810,2,256,1,4,1,1,0,1,0,0.000119,291
0811,2,256,1,4,1,1,0,1,1,0.000081,315
0812,2,256,1,4,1,1,0,1,2,0.000081,315
