n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0377,16,2,4,4,2,16,0.000002,5086,26596,5781,24,0
0378,16,2,4,4,3,4,0.000003,2653,14726,7248,24,0
0379,16,2,4,4,3,8,0.000003,3891,22048,7347,24,0
0380,16,2,4,4,3,16,0.000002,7085,33536,6105,24,0
0381,16,2,4,4,4,4,0.000003,3299,17962,8017,24,0
0382,16,2,4,4,4,8,0.000003,4712,27012,8179,24,0
0383,16,2,4,4,4,16,0.000002,7757,38963,6664,24,0
0384,16,3,1,1,1,4,0.000002,709,3445,2127,9,0
0385,16,3,1,1,1,8,0.000003,823,4461,2145,9,0
0386,16,3,1,1,1,16,0.000002,1338,8003,1577,9,0
0387,16,3,1,1,2,4,0.000002,840,4362,2707,9,0
0388,16,3,1,1,2,8,0.000003,1147,6341,2731,9,0
0389,16,3,1,1,2,16,0.000002,1646,9545,2464,9,0
0390,16,3,1,1,3,4,0.000003,1061,5614,3025,9,0
0391,16,3,1,1,3,8,0.000004,1444,8116,3062,9,0
0392,16,3,1,1,3,16,0.000003,2358,13767,2643,9,0
0393,16,3,1,1,4,4,0.000003,1183,6401,3189,9,0
0394,16,3,1,1,4,8,0.000004,1537,8608,3344,9,0
0395,16,3,1,1,4,16,0.000003,2271,12662,2963,9,0
0396,16,3,1,2,1,4,0.000001,640,3501,2095,9,0
0397,16,3,1,2,1,8,0.000002,829,4712,2112,9,0
0398,16,3,1,2,1,16,0.000002,1523,9215,1752,9,0
0399,16,3,1,2,2,4,0.000002,842,4615,2678,9,0
0400,16,3,1,2,2,8,0.000002,1239,6930,2711,9,0
0401,16,3,1,2,2,16,0.000003,1658,9463,2627,9,0
0402,16,3,1,2,3,4,0.000002,1033,5532,2991,9,0
0403,16,3,1,2,3,8,0.000003,1459,8119,3034,9,0
0404,16,3,1,2,3,16,0.000003,2509,14408,2842,9,0
0405,16,3,1,2,4,4,0.000002,1179,6479,3158,9,0
0406,16,3,1,2,4,8,0.000002,1514,8752,3305,9,0
0407,16,3,1,2,4,16,0.000003,2335,13121,3188,9,0
0408,16,3,1,3,1,4,0.000002,760,3875,2383,9,0
0409,16,3,1,3,1,8,0.000002,1103,5586,2624,9,0
0410,16,3,1,3,1,16,0.000001,1389,8267,1677,9,0
