n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0358,16,2,1,2,4,8,0,0.000026,411,2451,1779,0,0
0359,16,2,1,2,4,16,0,0.000023,407,2574,1231,0,0
0360,16,2,1,3,1,1,0,0.000041,362,1912,926,0,0
0361,16,2,1,3,1,2,0,0.000055,486,2613,1427,0,0
0362,16,2,1,3,1,4,0,0.000051,540,3231,1468,0,0
0363,16,2,1,3,1,8,0,0.000056,527,3247,1626,0,0
0364,16,2,1,3,1,16,0,0.000039,679,4182,1385,0,0
0365,16,2,1,3,2,1,0,0.000041,313,1744,908,0,0
0366,16,2,1,3,2,2,0,0.000053,429,1912,1419,0,0
0367,16,2,1,3,2,4,0,0.000050,427,2773,1462,0,0
0368,16,2,1,3,2,8,0,0.000051,465,2880,1612,0,0
0369,16,2,1,3,2,16,0,0.000038,624,4052,1370,0,0
0370,16,2,1,3,3,1,0,0.000046,340,1890,930,0,0
0371,16,2,1,3,3,2,0,0.000057,552,2910,1369,0,0
0372,16,2,1,3,3,4,0,0.000051,505,3100,1480,0,0
0373,16,2,1,3,3,8,0,0.000057,540,3216,1620,0,0
0375,16,2,1,3,4,1,0,0.000044,313,1737,900,0,0
0376,16,2,1,3,4,2,0,0.000052,429,1923,1415,0,0
0377,16,2,1,3,4,4,0,0.000053,400,2220,1462,0,0
0378,16,2,1,3,4,8,0,0.000052,455,2722,1609,0,0
0379,16,2,1,3,4,16,0,0.000037,606,3812,1366,0,0
0380,16,2,1,4,1,1,0,0.000058,368,1931,1063,0,0
0381,16,2,1,4,1,2,0,0.000073,578,3034,1506,0,0
0382,16,2,1,4,1,4,0,0.000064,621,3665,1920,0,0
0383,16,2,1,4,1,8,0,0.000056,606,3740,1914,0,0
0384,16,2,1,4,1,16,0,0.000058,732,4834,1440,0,0
0385,16,2,1,4,2,1,0,0.000056,348,1894,1045,0,0
0386,16,2,1,4,2,2,0,0.000075,483,2497,1495,0,0
0387,16,2,1,4,2,4,0,0.000063,602,3691,1916,0,0
0388,16,2,1,4,2,8,0,0.000057,508,3034,1903,0,0
0389,16,2,1,4,2,16,0,0.000059,707,4791,1427,0,0
0390,16,2,1,4,3,1,0,0.000058,362,1975,1067,0,0
0391,16,2,1,4,3,2,0,0.000082,602,3444,1441,0,0
0392,16,2,1,4,3,4,0,0.000070,603,3708,1928,0,0
0393,16,2,1,4,3,8,0,0.000058,604,3694,1911,0,0
0394,16,2,1,4,3,16,0,0.000057,808,5412,1497,0,0
0395,16,2,1,4,4,1,0,0.000052,366,1943,1037,0,0
0396,16,2,1,4,4,2,0,0.000069,525,2452,1491,0,0
